,single,multi
Apple M1,1707,7219
Apple A15,1681,4617
Apple A14,1584,4208
Apple A13,1312,3264
Apple A12X,1147,4778
Apple A12Z,1121,4664
Apple A12,1112,2830
Snapdragon 888,1058,3045
Snapdragon 865+,951,3003
Snapdragon 870,937,3094
Snapdragon 865,932,3217
Exynos 2100,923,3074
Apple A11,914,2089
Apple A10X,833,2279
Exynos 990,799,2649
Kirin 990,758,2945
Snapdragon 855+,758,2634
Apple A10,752,1399
Exynos 9820,749,2097
Snapdragon 855,742,2760
Snapdragon 860,740,2477
Exynos 9825,735,2132
Kirin 980,688,2420
Apple A9X,642,1195
Exynos 980,631,1785
Exynos 9810,597,1899
Snapdragon 765G,594,1823
Snapdragon 690,594,1737
Kirin 810,592,1872
Snapdragon 720G,560,1711
Snapdragon 732G,556,1696
Apple A9,548,1023
Snapdragon 730G,536,1678
Helio G90T,533,1669
Snapdragon 845,525,2270
Snapdragon 730,522,1633
Snapdragon 675,496,1528
Snapdragon 712,407,1453
Exynos 8890,394,1304
Snapdragon 710,392,1435
Snapdragon 835,384,1658
Apple A8X,378,1057
Kirin 960,377,1519
Exynos 8895,369,1443
Kirin 955,365,1299
Kirin 950,357,1298
Helio P65,357,1235
Helio G80,357,1287
Apple A8,354,665
Helio G85,353,1262
Kirin 970,346,1387
Snapdragon 670,338,1399
Snapdragon 660,334,1466
Kirin 710,333,1298
Exynos 9611,331,1203
Exynos 9610,330,1159
Exynos 9609,326,1249
Kirin 710F,324,1310
Snapdragon 821,321,846
MT8176,313,699
Snapdragon 820,312,824
Snapdragon 662,309,1354
Exynos 7885,307,987
Snapdragon 665,306,1291
Helio P70,305,1388
Helio P60,288,1334
Helio X30,287,1198
Snapdragon 653,286,956
Apple A7,280,530
Snapdragon 650,276,827
Snapdragon 636,273,1168
Helio X27,271,967
Helio X25,268,917
Snapdragon 632,267,1148
Snapdragon 652,263,966
Exynos 7904,259,934
Snapdragon 810,257,711
Exynos 7420,256,1002
Snapdragon 460,249,1135
Helio X20,246,643
Exynos 5433,245,813
Snapdragon 625,236,1044
Exynos 7884,231,834
Snapdragon 808,225,651
Helio X23,214,936
Kirin 659,192,882
Kirin 658,185,821
Snapdragon 626,183,1047
Helio P25,183,955
Snapdragon 630,174,986
Helio P20,172,868
Exynos 5430,172,520
Snapdragon 430,171,940
Snapdragon 800,171,532
Kirin 655,170,835
Exynos 850,170,969
Kirin 650,167,787
Snapdragon 801,157,559
Helio P10,155,669
Snapdragon 805,153,460
Exynos 5250,152,272
Snapdragon 450,148,888
Exynos 7880,143,923
MT6750,140,668
MT6752m,136,692
Snapdragon 617,134,658
MT6737,126,433
MT6737T,124,408
Snapdragon 435,123,588
Snapdragon 425,123,399
Exynos 7870,118,452
MT6753,115,603
Snapdragon 616,114,535
Snapdragon 615,114,392
Snapdragon 600,113,377
Exynos 7580,109,409
Snapdragon S4,108,345
Snapdragon 400,106,257
Kirin 620,103,495
Exynos 7570,103,353
Exynos 7578,101,351
Snapdragon 410,97,317
Exynos 3470,73,243
Snapdragon 200,63,113
Snapdragon 210,62,219
Snapdragon 8,1235,3837
Dimensity 1000+,778,2967
Dimensity 1100,870,3280
Dimensity 1200,983,3342
Dimensity 700,568,1735
Dimensity 720,532,1718
Dimensity 800,514,1894
Dimensity 800U,618,1838
Dimensity 810,627,1925
Dimensity 820,523,2402
Dimensity 900,710,2608
Dimensity 920,794,2608
Exynos 1080,842,1826
Exynos 880,659,1826
Helio G35,175,689
Helio G25,136,474
Helio G37,165,1063
Helio G70,393,1314
Helio G88,366,1270
Helio G95,517,1682
Helio G96,542,1883
Helio P22,146,720
Helio P22T,152,849
Helio P35,170,980
Helio P90,393,1485
Helio P95,413,1520
Kirin 710A,320,1162
Kirin 820,640,2453
Kirin 820E,746,2536
Kirin 9000,1053,3719
Kirin 9000E,1065,3784
Kirin 985,691,2596
Kirin 990E,767,2879
Mediatek MT6739,104,348
Mediatek MT6739W,105,332
Snapdragon 215,151,707
Snapdragon 439,177,808
Snapdragon 480,503,1643
Snapdragon 480+,499,1613
Snapdragon 678,532,1542
Snapdragon 680,392,1565
Snapdragon 695,836,2846
Snapdragon 750,659,1998
Snapdragon 750G,650,1922
Snapdragon 765,594,1924
Snapdragon 768G,706,1997
Snapdragon 778G,775,2838
Snapdragon 780G,812,2927
Snapdragon 888+,1178,3669
Unisoc SC9863A,138,621
Unisoc T606,293,942
Unisoc T610,352,1334
Unisoc T700,352,1302
Unisoc Tiger,392,1294
MT6739WA,106,490
Tensor,1029,2696
MT6737M,70,325
Helio A22,161,538
MT6762,137,805
MT6765,155,532
MT6739,103,343
Unisoc T117,50,50
Snapdragon 205,93,428
MT6771V,138,150
SC9863A,145,782
MT6739WW,94,436
MT6761D,144,471
Dimensity 1200-Ultra,869,3384